semester;kurzname;sws;veranstaltungsart;rhythmus;parallelgrupper;stg_name
1,3;EnM2Ts;4;Übung;wöchentlich;1. Zug, nur 1. Gruppe;Internationale Medieninformatik (B)
1,3;EnM2Ts;4;Übung;wöchentlich;1. Zug, nur 2. Gruppe;Internationale Medieninformatik (B)
2,3;EnM3Ts;4;Übung;wöchentlich;1. Zug, nur 1. Gruppe;Internationale Medieninformatik (B)
2,3;EnM3Ts;4;Übung;wöchentlich;1. Zug, nur 2. Gruppe;Internationale Medieninformatik (B)
1,3;ItG1As;4;Übung;wöchentlich;Gruppe A;Internationale Medieninformatik (B)
1,3;ItG1As;4;Übung;wöchentlich;Gruppe A;Internationale Medieninformatik (B)
1,3;SpG1As;4;Übung;wöchentlich;;Internationale Medieninformatik (B)
3;RsO1Ws;4;Übung;;;Internationale Medieninformatik (B)
3;RsO1Ws;4;Übung;;;Internationale Medieninformatik (B)
3;RsO1Ws;4;Übung;;;Internationale Medieninformatik (B)
1,2,3;RsM2Ab;4;Übung;;;Internationale Medieninformatik (B)
6;AWE: SHWBZ;2;Seminaristischer Unterricht;ungerade Woche;Gruppe A;Internationale Medieninformatik (B)
6;AWE: SHWBZ;2;Seminaristischer Unterricht;ungerade Woche;Gruppe A;Internationale Medieninformatik (B)
6;AWE: LaTex;2;Seminaristischer Unterricht;;;Internationale Medieninformatik (B)
6;AWE: LaTex;2;Seminaristischer Unterricht;;;Internationale Medieninformatik (B)
6;AWE:DiFok;2;Seminaristischer Unterricht;;Gruppe A;Internationale Medieninformatik (B)
6;AWE: Prax;2;Seminaristischer Unterricht;wöchentlich;Gruppe A;Internationale Medieninformatik (B)
6;AWE:PhilSF;2;Seminaristischer Unterricht;;Gruppe A;Internationale Medieninformatik (B)
6;AWE VP;2;Seminaristischer Unterricht;14-täglich;Gruppe A;Internationale Medieninformatik (B)
6;AWE CoCa;2;Seminaristischer Lehrvortrag;wöchentlich;Gruppe A;Internationale Medieninformatik (B)
6;AWE CoCa;2;Seminaristischer Lehrvortrag;wöchentlich;Gruppe A;Internationale Medieninformatik (B)
6;AWE: ETHIC;2;Seminaristischer Unterricht;;Gruppe A;Internationale Medieninformatik (B)
6;AWE Gender;2;Seminaristischer Unterricht;;;Internationale Medieninformatik (B)
6;AWE BEWERB;2;Seminaristischer Unterricht;Blockveranstaltung und Samstag;Gruppe A;Internationale Medieninformatik (B)
6;AWE BEWERB;2;Seminaristischer Unterricht;Blockveranstaltung und Samstag;Gruppe A;Internationale Medieninformatik (B)
6;MERE;2;Seminaristischer Unterricht;wöchentlich;1. Zug;Internationale Medieninformatik (B)
6;AWE: RE IT;2;Seminaristischer Unterricht;wöchentlich;Gruppe A;Internationale Medieninformatik (B)
6;AWE FOTO;2;Seminaristischer Unterricht;;;Internationale Medieninformatik (B)
6;AWE FOTO;2;Seminaristischer Unterricht;;;Internationale Medieninformatik (B)
6;AWE: SYNTH;2;Seminaristischer Unterricht;gerade Woche;Gruppe A;Internationale Medieninformatik (B)
6;AWE: SYNTH;2;Seminaristischer Unterricht;gerade Woche;Gruppe A;Internationale Medieninformatik (B)
1;INFO 1 (SU);4;Seminaristischer Unterricht;wöchentlich;1. Zug;Internationale Medieninformatik (B)
1;INFO 1 (Ü);2;Übung;wöchentlich;1. Zug, nur 1. Gruppe;Internationale Medieninformatik (B)
1;INFO 1 (Ü);2;Übung;wöchentlich;1. Zug, nur 2. Gruppe;Internationale Medieninformatik (B)
1;INFO 1 (Ü);2;Übung;wöchentlich;1. Zug, nur 3. Gruppe;Internationale Medieninformatik (B)
2;INFO 2 (SU);4;Seminaristischer Unterricht;wöchentlich;1. Zug;Internationale Medieninformatik (B)
2;INFO 2 (Ü);2;Übung;wöchentlich;1. Zug, nur 2. Gruppe;Internationale Medieninformatik (B)
2;INFO 2 (Ü);2;Übung;wöchentlich;1. Zug, nur 1. Gruppe;Internationale Medieninformatik (B)
3;INFO 3 (SU);4;Seminaristischer Unterricht;wöchentlich;1. Zug;Internationale Medieninformatik (B)
3;INFO 3 (Ü);2;Übung;wöchentlich;1. Zug, nur 2. Gruppe;Internationale Medieninformatik (B)
3;INFO 3 (Ü);2;Übung;wöchentlich;1. Zug, nur 1. Gruppe;Internationale Medieninformatik (B)
1;CS (SU);2;Seminaristischer Unterricht;wöchentlich;1. Zug;Internationale Medieninformatik (B)
1;CS (Ü);2;Übung;gerade Woche;1. Zug, nur 1. Gruppe;Internationale Medieninformatik (B)
1;CS (Ü);2;Übung;ungerade Woche;1. Zug, nur 2. Gruppe;Internationale Medieninformatik (B)
1;MATHE 1 (SU);2;Seminaristischer Unterricht;wöchentlich;1. Zug;Internationale Medieninformatik (B)
1;MATHE 1 (Ü);2;Übung;gerade Woche;1. Zug, nur 1. Gruppe;Internationale Medieninformatik (B)
1;MATHE 1 (Ü);2;Übung;ungerade Woche;1. Zug, nur 2. Gruppe;Internationale Medieninformatik (B)
2;MATHE 2 (SU);2;Seminaristischer Unterricht;wöchentlich;1. Zug;Internationale Medieninformatik (B)
2;MATHE 2 (Ü);1;Übung;gerade Woche;1. Zug, nur 1. Gruppe;Internationale Medieninformatik (B)
2;MATHE 2 (Ü);1;Übung;ungerade Woche;1. Zug, nur 2. Gruppe;Internationale Medieninformatik (B)
1;GWP (SU);2;Seminaristischer Unterricht;wöchentlich;1. Zug;Internationale Medieninformatik (B)
1;GWP (Ü);2;Übung;wöchentlich;1. Zug, nur 2. Gruppe;Internationale Medieninformatik (B)
1;GWP (Ü);2;Übung;wöchentlich;1. Zug, nur 1. Gruppe;Internationale Medieninformatik (B)
2;GRDL DIME (SU);4;Seminaristischer Unterricht;wöchentlich;1. Zug;Internationale Medieninformatik (B)
2;GRDL DIME (Ü);2;Übung;gerade Woche;1. Zug, nur 1. Gruppe;Internationale Medieninformatik (B)
2;GRDL DIME (Ü);2;Übung;ungerade Woche;1. Zug, nur 2. Gruppe;Internationale Medieninformatik (B)
2;NETZ (SU);2;Seminaristischer Unterricht;wöchentlich;1. Zug;Internationale Medieninformatik (B)
2;NETZ (Ü);1;Übung;gerade Woche;1. Zug, nur 2. Gruppe;Internationale Medieninformatik (B)
